index,category_num,point_num,delta,ans
0,5,17,1.7056467730183327,1
1,7,15,2.042241842093488,4
2,4,17,2.7209526247163645,2
3,5,16,2.650669587127255,3
4,10,18,2.902224370119535,2
5,7,10,2.727595837163591,5
6,2,18,2.4683694576745414,0
7,2,13,2.1136162726945664,0
8,6,11,2.5276882028354795,1
9,3,19,2.445620994920411,2
10,4,18,1.5415888697276783,0
11,8,10,1.5454310821336206,5
12,6,19,2.0396981777852607,5
13,10,20,2.1226475082659286,1
14,10,12,2.3338640777699817,5
15,8,12,2.653438014294472,4
16,7,11,1.6995556948790238,5
17,3,16,2.780271750747988,1
18,4,10,2.1341793718438877,2
19,9,13,2.6796746412328174,8
20,6,14,1.713316935687537,3
21,10,17,1.6333533411723273,2
22,3,13,1.8353668938731227,0
23,3,20,2.0436274207352536,1
24,2,17,2.0283490144252063,1
25,10,20,2.8988200534143775,4
26,8,11,2.438791136036075,6
27,5,12,1.9992260855484858,3
28,6,14,2.056347030123068,5
29,5,13,2.3624041717184543,2
30,3,11,1.6956406877580843,0
31,2,15,1.627616124338902,0
32,9,17,1.9119101318248486,2
33,7,15,2.6802404453668975,5
34,9,11,1.5398715444688218,7
35,8,15,1.6042698992234472,0
36,10,11,2.892451423006272,4
37,6,19,2.118555304060134,1
38,4,17,1.6629457202187696,1
39,6,11,2.6643788099859482,5
40,2,10,2.8198349372079763,0
41,8,19,2.900132329703277,0
