index,category_num,point_num,delta,ans
0,9,12,2.1468267251127244,8
1,7,14,1.608588142395547,0
2,4,15,2.0787961276952345,0
3,5,20,1.5235635142486883,2
4,5,18,2.2214895283902703,3
5,10,19,2.0993173095902895,6
6,3,13,1.6891317204627638,2
7,2,19,3.5800586398642684,1
8,8,13,2.50620845299684,0
9,3,15,4.8335511736162005,2
10,3,19,2.092093105915507,0
11,4,17,2.4488602820459455,1
12,4,15,1.8442726518182893,3
13,6,18,1.6741661894049162,3
14,8,16,2.5045234579848303,0
15,9,18,1.5419816031042588,2
16,6,11,2.8729183592724876,5
17,5,20,2.936072586680898,4
18,2,12,2.1616751669503174,0
19,4,12,2.139333809895369,3
20,3,12,2.188420201101018,2
21,8,11,2.7807246817635933,5
22,8,12,1.7403629307692228,6
23,7,15,2.3586110467423955,3
24,5,16,1.6229965997958011,0
25,4,19,2.1231165326808217,2
26,5,10,2.9643959068237153,1
27,9,19,1.786949712744482,5
28,7,11,2.502253771093577,0
29,4,11,2.510291148515621,1
30,8,18,1.5099856421419213,4
31,9,15,1.730184061259184,2
32,9,12,2.6017341609081166,6
33,2,20,3.8977237366006783,1
34,9,16,2.0035718878947035,8
35,2,11,1.6940670750751643,1
36,3,14,2.877098799158512,0
37,7,14,2.9056488646021505,4
38,7,19,1.7529184589284155,5
39,7,19,2.6082587335159486,1
40,2,19,2.6231365793408528,0
41,8,16,2.6420717726496648,3
42,5,18,1.912751574192436,4
43,8,18,2.02431870645845,6
44,2,17,2.0548296300649396,1
