index,category_num,point_num,delta,ans
0,10,16,2.4380239529623022,1
1,5,18,2.016533596577011,0
2,10,10,1.5576903814031349,9
3,3,10,2.7606147031237,1
4,2,20,3.8977237366006783,1
5,8,15,2.5461666735065283,4
6,7,15,2.8694638806474293,4
7,2,18,1.6688922117374632,1
8,4,11,1.6812023193101568,3
9,6,18,2.229838627297876,5
10,5,12,2.3513934073472704,1
11,3,15,2.0407870537895527,1
12,2,19,3.5800586398642684,1
13,7,13,1.5490217195156362,5
14,6,13,2.5973791621258604,3
15,6,16,2.583141237447573,1
16,10,19,2.246934895766861,6
17,4,12,1.9825042462348534,3
18,9,10,1.5862770400956636,5
19,2,19,2.0391144369439136,1
20,10,11,2.7922935613814426,7
21,8,14,2.6334443079993095,5
22,10,12,2.178894579713,2
23,10,11,2.5856110472918417,7
24,8,18,2.2918595049869035,4
25,3,17,2.54277452482609,2
26,6,16,2.5732084369266834,1
27,3,17,2.858201928412206,0
28,7,14,2.2579236271928753,5
29,4,13,1.732167620287612,2
30,3,15,4.8335511736162005,2
31,10,10,2.961308674058659,9
32,8,18,2.5621795194433483,7
33,10,10,2.0735378735580063,4
34,6,17,2.464564064729503,1
35,5,13,1.922204023405592,0
36,8,13,2.52105474829973,7
37,3,13,1.6473388015752484,1
38,6,17,2.1294535536975907,4
39,2,19,1.7457196686073022,0
40,4,11,1.645098057688685,1
41,4,19,1.5147516174369118,2
42,7,14,2.2765457743577917,2
43,3,19,1.8162556676388606,1
44,6,15,1.882813009600885,0
