index,category_num,point_num,delta,ans
0,4,15,1.9529167741993794,3
1,3,10,1.5355194614922407,1
2,9,18,2.8735911918994965,6
3,5,12,1.9412407529787958,0
4,7,20,1.642208952080857,6
5,2,20,3.8977237366006783,1
6,10,14,2.3416502928020786,2
7,10,12,2.9799616324323255,6
8,9,16,2.5446654069416357,7
9,6,19,1.581092260507865,1
10,8,12,2.7390970289576257,3
11,7,16,2.7298987856507733,6
12,3,13,1.8270996182108945,1
13,6,16,2.117169892293864,0
14,8,17,2.510266299520521,0
15,4,12,2.37458031565322,0
16,3,18,2.425317615704594,0
17,4,19,2.7472887545061733,1
18,8,14,2.804342110063989,0
19,7,14,2.9171893071673134,1
20,3,18,1.6694567917401084,0
21,10,14,1.6998056025645054,3
22,7,10,2.025092675052565,0
23,8,19,2.5840473490562834,6
24,9,10,2.7835581737976023,6
25,3,10,1.761879213951234,0
26,3,15,4.8335511736162005,2
27,2,19,2.0223869839249184,1
28,4,19,1.5348387108583328,2
29,4,11,1.6019969982410798,0
30,9,20,2.1778566814326226,6
31,5,12,2.1663387619953687,0
32,2,13,1.6947183078890786,0
33,7,13,2.2605413445290017,3
34,5,15,1.6263690072632766,1
35,10,14,1.5828240652429146,4
36,7,13,2.973963379828298,0
37,5,12,2.776334795580711,1
38,5,12,2.2062384076614645,3
39,4,17,2.0286507373175002,3
40,10,14,2.3734709014427553,9
41,9,10,2.236537029305879,0
42,5,12,2.5574490468422075,2
43,2,19,3.5800586398642684,1
44,4,18,2.3255468580643894,1
