index,category_num,point_num,delta,ans
0,4,18,2.647369184270386,3
1,5,15,1.7381404475229703,4
2,2,10,1.937529021260164,1
3,2,10,2.3592972955660754,1
4,8,11,2.6635774984591407,5
5,7,10,2.3289243950508967,3
6,8,15,2.6602647218284465,4
7,2,12,2.2489786931630893,0
8,7,12,2.2488642210608347,3
9,10,14,2.522709164766181,1
10,3,10,2.665242047724613,2
11,9,12,2.0156115198370834,8
12,7,17,1.5986187321869672,0
13,10,19,1.5411840902484237,3
14,8,11,2.5992629941687024,7
15,2,12,1.865319700554093,0
16,10,16,1.6515134485042733,1
17,8,14,2.3991024617667955,4
18,4,16,1.713370667440417,2
19,3,12,2.0934109333431445,2
20,5,18,1.6033234398418195,0
21,5,19,2.7386954086289137,2
22,6,20,2.6233532691204218,2
23,6,17,2.695141707327516,2
24,10,20,2.4845835670040026,5
25,9,18,2.2046475155737433,2
26,8,19,2.1361613155107673,3
27,10,14,2.326427002300874,4
28,6,13,2.6422900223745343,2
29,10,10,1.6269799740159447,2
30,6,20,2.074270315364947,2
31,4,14,2.8155694509221822,1
32,4,19,2.9068427994249886,3
33,7,16,2.518344626143433,4
34,7,16,1.8091190088250695,1
35,5,18,2.634053993544657,1
36,8,15,2.1001397568074625,0
37,3,18,1.722039612506702,1
38,4,10,1.8375974127303047,1
39,4,11,1.5273562809875454,1
40,5,18,2.377429281842379,1
41,3,16,1.9642141335737549,0
