index,category_num,point_num,delta,ans
0,10,11,2.892451423006272,4
1,3,15,4.8335511736162005,2
2,6,14,2.056347030123068,5
3,7,11,1.6995556948790238,5
4,2,17,2.0283490144252063,1
5,8,15,1.6042698992234472,0
6,10,18,2.902224370119535,2
7,4,18,1.5415888697276783,0
8,6,19,2.118555304060136,1
9,10,17,1.6333533411723273,2
10,5,13,2.3624041717184543,2
11,2,10,2.8198349372079763,0
12,8,12,2.653438014294472,4
13,5,16,2.650669587127255,3
14,3,11,1.6956406877580843,0
15,10,12,2.3338640777699817,5
16,10,20,2.1226475082659286,1
17,6,14,1.713316935687537,3
18,8,11,2.438791136036075,6
19,9,11,1.5398715444688218,7
20,4,10,2.1341793718438877,2
21,2,13,2.113616272694566,0
22,7,10,2.727595837163591,5
23,4,17,2.7209526247163645,2
24,8,10,1.5454310821336206,5
25,2,20,3.8977237366006783,1
26,6,11,2.6643788099859482,5
27,5,17,1.7056467730183327,1
28,3,20,2.0436274207352536,1
29,3,13,1.8353668938731227,0
30,6,11,2.5276882028354795,1
31,5,12,1.9992260855484858,3
32,2,18,2.4683694576745414,0
33,9,13,2.6796746412328174,8
34,3,16,2.780271750747988,1
35,7,15,2.6802404453668975,5
36,3,19,2.445620994920411,2
37,7,15,2.042241842093488,4
38,10,20,2.8988200534143775,4
39,2,19,3.5800586398642684,1
40,4,17,1.6629457202187696,1
41,9,17,1.9119101318248486,2
42,8,19,2.900132329703277,0
43,2,15,1.627616124338902,0
44,6,19,2.0396981777852607,5
