index,category_num,point_num,delta,ans
0,7,19,2.127599919025034,2
1,5,10,2.4084964720042548,0
2,4,16,1.6133423120904578,3
3,9,16,1.9436247749489288,5
4,5,14,2.6813171960691715,0
5,2,16,2.0290765998122136,1
6,7,15,1.593948678873681,2
7,9,14,2.520689158047846,7
8,4,16,2.2538116230211385,0
9,7,10,2.92348053013201,4
10,8,15,1.8401406802071216,3
11,10,19,2.034875033334859,1
12,7,10,2.031794045978992,1
13,4,16,1.6263043172981693,3
14,4,10,2.5813650968849755,1
15,8,14,2.1405425428949734,0
16,8,10,1.6123058857047914,2
17,9,13,2.5288651546026326,0
18,4,10,2.7834042107854646,3
19,2,15,2.307007472107654,1
20,2,15,2.0943120789726626,1
21,4,19,2.1508044404040243,1
22,2,14,1.7111810964334646,0
23,7,17,2.02496269025467,2
24,10,12,2.3250680002955892,2
25,6,14,2.5018086566469515,5
26,4,14,1.6344349643199223,2
27,9,11,1.6051433854314157,3
28,5,20,1.6075025586063978,1
29,9,17,2.509277225097847,8
30,6,17,2.6164113200657213,0
31,9,10,1.5618928028429213,2
32,4,18,2.6126555975851566,3
33,4,15,1.5693263424122108,3
34,5,13,2.5733774436981642,0
35,10,13,2.8299932960076344,1
36,6,19,2.0460491059088106,0
37,3,12,2.5748734913232587,0
38,9,16,1.9707810772797503,8
39,7,19,2.2128157523131295,6
40,7,20,1.5330026757261992,6
41,10,20,2.7819436408178264,3
