index,category_num,point_num,delta,ans
0,3,12,1.9944318180445952,2
1,5,13,2.214428839200514,4
2,6,15,2.56505561908169,5
3,7,18,1.8246211409393096,4
4,6,11,2.6196973160663646,3
5,3,11,2.574422702544127,0
6,3,15,4.8335511736162005,2
7,3,20,2.6229295561191344,1
8,8,18,2.6119019668747123,4
9,2,11,1.501080314351082,0
10,2,19,3.5800586398642684,1
11,2,17,1.7345664784066157,1
12,6,13,2.585940928723739,4
13,5,16,2.0433570158685934,4
14,8,10,2.650852329077832,6
15,5,15,1.515993508151424,4
16,10,17,2.0814974832635866,5
17,10,15,2.392595786321195,0
18,6,14,1.7805990481137282,0
19,5,11,2.905591493449869,4
20,3,14,2.087631636961543,0
21,6,17,1.9328900779418845,2
22,8,15,2.03784548057214,3
23,9,10,1.7798153979541471,4
24,3,10,2.964180606889797,1
25,10,18,1.666455953362581,4
26,2,12,2.675372281649069,1
27,2,20,3.8977237366006783,1
28,6,10,2.287334930089986,4
29,2,18,2.0668071727784745,1
30,4,12,1.5374629226296208,3
31,3,15,1.7754749959620248,1
32,4,18,2.543711493284275,3
33,9,18,2.1927953909289144,3
34,2,10,2.414914394065936,1
35,6,16,1.7297926600488598,5
36,7,13,2.4119056053457246,4
37,10,19,2.7064082068753645,2
38,10,16,2.0349382726366807,5
39,3,17,1.932220143445412,0
40,9,11,2.1604467075313893,7
41,8,14,1.6334844865917617,3
42,9,19,2.585091967968938,5
43,9,17,2.5801818721517016,8
44,6,14,2.1777231590942394,0
