index,category_num,point_num,delta,ans
0,3,12,2.6802979342055124,1
1,10,10,2.040259559926942,2
2,6,17,2.7012060672901566,3
3,3,13,2.319635497861431,1
4,2,12,2.5825199990592793,0
5,4,12,1.8852450886590013,0
6,9,20,2.093676785834366,8
7,7,19,2.8455729240995593,4
8,2,13,1.7400577764863465,0
9,10,15,1.532331766999996,9
10,7,14,1.5633520454969174,0
11,5,20,1.6400332376603792,2
12,9,14,1.5090581655748885,5
13,6,13,2.0435125513515002,3
14,3,13,2.038597937003667,0
15,9,11,2.504898291582374,1
16,3,16,2.49181429326938,0
17,10,13,2.826997014160318,4
18,5,11,2.4551210489437727,0
19,3,13,1.5293828421091185,0
20,8,13,2.1501933288101727,6
21,3,19,2.8459517063261206,1
22,5,17,2.656529178952562,0
23,5,14,2.392571606666448,1
24,9,18,2.8122424796764887,8
25,10,16,1.7358757717892903,0
26,4,18,1.864173272456199,2
27,4,16,2.5595280187326654,0
28,6,17,2.0807345267383504,2
29,8,14,2.6638912320584547,3
30,3,19,2.8359845682474294,1
31,2,12,2.1106965729234926,0
32,10,19,1.8679338445376032,5
33,8,11,2.3071965971923447,2
34,5,12,1.830528932032812,0
35,10,17,2.794027508508735,4
36,7,13,2.4238126682110144,6
37,6,12,1.6400612260012748,4
38,8,17,2.032334130475495,5
39,2,14,1.8846001625875157,0
40,6,14,1.6309329837861304,1
41,7,18,2.7169346023456513,6
