index,category_num,point_num,delta,ans
0,4,16,2.638096289979387,1
1,7,10,1.5814738670612627,4
2,7,11,2.10685652904151,2
3,4,17,1.5392947580255698,1
4,3,12,2.630513324476953,0
5,5,11,2.106491334933917,0
6,6,17,2.718225406533974,0
7,6,12,2.3734631108018913,1
8,8,19,1.80306739813952,0
9,4,12,2.926719680469656,1
10,10,19,1.5410989855952701,6
11,5,18,2.8633241272259373,3
12,3,10,2.000348080766937,0
13,7,20,1.8929532857251963,1
14,8,17,2.6913022591634266,6
15,5,19,1.7469186643507157,4
16,3,11,2.349651773775439,0
17,9,16,1.7121692155147006,7
18,8,11,2.267701126514694,0
19,3,11,2.0879619171855976,2
20,2,19,3.5800586398642684,1
21,9,11,2.127093687559486,0
22,3,15,4.8335511736162005,2
23,5,15,1.6221770526036856,3
24,5,18,2.8135523530731197,4
25,4,10,1.9192060861781246,3
26,7,16,2.8796353304183535,0
27,9,13,2.205233894094978,3
28,6,13,2.0297979661103076,4
29,3,12,1.5651777581776756,2
30,6,12,2.3390558111423747,1
31,3,20,2.489490035937328,0
32,2,12,2.826543313863888,0
33,8,19,2.688401488907339,0
34,9,14,1.6519626584484808,2
35,3,12,2.6335582657416943,1
36,2,20,1.724316723907462,1
37,2,20,3.8977237366006783,1
38,2,16,2.5150689536131585,0
39,6,12,1.9703108049692828,0
40,9,10,1.714676771057496,7
41,9,11,2.1951717686665404,0
42,9,20,2.0980200631477874,6
43,8,19,2.835470333191383,0
44,9,16,2.5053773642900588,6
