,id,color_palette,delta,category_number,time_spent,number_points,correct_answer
0,0uCqodzmQcMa7PSJ624O_Q_0,StataS2,1.9944318180445952,3,8.1,12,1
1,0uCqodzmQcMa7PSJ624O_Q_1,StataS2,2.214428839200514,5,2.5,13,1
2,0uCqodzmQcMa7PSJ624O_Q_2,StataS2,2.56505561908169,6,6.7,15,1
3,0uCqodzmQcMa7PSJ624O_Q_3,StataS2,1.8246211409393096,7,4.1,18,1
4,0uCqodzmQcMa7PSJ624O_Q_4,StataS2,2.6196973160663646,6,2.7,11,1
5,0uCqodzmQcMa7PSJ624O_Q_5,StataS2,2.574422702544127,3,3.1,11,1
6,0uCqodzmQcMa7PSJ624O_Q_7,StataS2,2.6229295561191344,3,2.1,20,1
7,0uCqodzmQcMa7PSJ624O_Q_8,StataS2,2.6119019668747123,8,5.3,18,1
8,0uCqodzmQcMa7PSJ624O_Q_9,StataS2,1.501080314351082,2,4.4,11,1
9,0uCqodzmQcMa7PSJ624O_Q_11,StataS2,1.7345664784066157,2,2.3,17,1
10,0uCqodzmQcMa7PSJ624O_Q_12,StataS2,2.585940928723739,6,3.1,13,1
11,0uCqodzmQcMa7PSJ624O_Q_13,StataS2,2.0433570158685934,5,5.4,16,1
12,0uCqodzmQcMa7PSJ624O_Q_14,StataS2,2.650852329077832,8,4.6,10,1
13,0uCqodzmQcMa7PSJ624O_Q_15,StataS2,1.515993508151424,5,3.3,15,1
14,0uCqodzmQcMa7PSJ624O_Q_16,StataS2,2.081497483263586,10,3.0,17,1
15,0uCqodzmQcMa7PSJ624O_Q_17,StataS2,2.392595786321195,10,15.1,15,1
16,0uCqodzmQcMa7PSJ624O_Q_18,StataS2,1.7805990481137282,6,7.2,14,1
17,0uCqodzmQcMa7PSJ624O_Q_19,StataS2,2.905591493449869,5,11.3,11,1
18,0uCqodzmQcMa7PSJ624O_Q_20,StataS2,2.087631636961543,3,3.9,14,1
19,0uCqodzmQcMa7PSJ624O_Q_21,StataS2,1.9328900779418845,6,10.2,17,0
20,0uCqodzmQcMa7PSJ624O_Q_22,StataS2,2.03784548057214,8,3.7,15,1
21,0uCqodzmQcMa7PSJ624O_Q_23,StataS2,1.7798153979541471,9,3.4,10,1
22,0uCqodzmQcMa7PSJ624O_Q_24,StataS2,2.964180606889797,3,3.7,10,1
23,0uCqodzmQcMa7PSJ624O_Q_25,StataS2,1.666455953362581,10,9.0,18,1
24,0uCqodzmQcMa7PSJ624O_Q_26,StataS2,2.675372281649069,2,1.9,12,1
25,0uCqodzmQcMa7PSJ624O_Q_28,StataS2,2.287334930089986,6,2.7,10,1
26,0uCqodzmQcMa7PSJ624O_Q_29,StataS2,2.0668071727784745,2,3.4,18,1
27,0uCqodzmQcMa7PSJ624O_Q_30,StataS2,1.5374629226296208,4,4.7,12,1
28,0uCqodzmQcMa7PSJ624O_Q_31,StataS2,1.7754749959620248,3,2.2,15,1
29,0uCqodzmQcMa7PSJ624O_Q_32,StataS2,2.543711493284275,4,1.9,18,1
30,0uCqodzmQcMa7PSJ624O_Q_33,StataS2,2.1927953909289144,9,4.0,18,1
31,0uCqodzmQcMa7PSJ624O_Q_34,StataS2,2.414914394065936,2,3.4,10,1
32,0uCqodzmQcMa7PSJ624O_Q_35,StataS2,1.7297926600488598,6,4.4,16,0
33,0uCqodzmQcMa7PSJ624O_Q_36,StataS2,2.4119056053457246,7,3.2,13,1
34,0uCqodzmQcMa7PSJ624O_Q_37,StataS2,2.7064082068753645,10,2.8,19,1
35,0uCqodzmQcMa7PSJ624O_Q_38,StataS2,2.0349382726366807,10,8.5,16,1
36,0uCqodzmQcMa7PSJ624O_Q_39,StataS2,1.932220143445412,3,5.7,17,1
37,0uCqodzmQcMa7PSJ624O_Q_40,StataS2,2.1604467075313893,9,6.9,11,1
38,0uCqodzmQcMa7PSJ624O_Q_41,StataS2,1.6334844865917617,8,3.6,14,1
39,0uCqodzmQcMa7PSJ624O_Q_42,StataS2,2.585091967968938,9,2.8,19,1
40,0uCqodzmQcMa7PSJ624O_Q_43,StataS2,2.5801818721517016,9,3.5,17,1
41,0uCqodzmQcMa7PSJ624O_Q_44,StataS2,2.1777231590942394,6,4.0,14,1
42,14FQGehev0fgSXeFdfQm_Q_0,D3Cat10,2.638096289979387,4,5.6,16,1
43,14FQGehev0fgSXeFdfQm_Q_1,D3Cat10,1.5814738670612627,7,12.4,10,1
